Model: cnn, Batch_size: 32, Epochs: 20, Learning Rate: 0.0001
Current device is cuda.
Epoch [1/20], Loss: 1.7174, Accuracy: 49.96%
Epoch [2/20], Loss: 1.4538, Accuracy: 54.86%
Epoch [3/20], Loss: 1.3573, Accuracy: 58.46%
Epoch [4/20], Loss: 1.2801, Accuracy: 60.67%
Epoch [5/20], Loss: 1.2138, Accuracy: 60.83%
Epoch [6/20], Loss: 1.1591, Accuracy: 63.11%
Epoch [7/20], Loss: 1.1422, Accuracy: 63.55%
Epoch [8/20], Loss: 1.1343, Accuracy: 63.71%
Epoch [9/20], Loss: 1.1338, Accuracy: 63.25%
Epoch [10/20], Loss: 1.1242, Accuracy: 64.11%
Epoch [11/20], Loss: 1.1191, Accuracy: 64.12%
Epoch [12/20], Loss: 1.1158, Accuracy: 64.17%
Epoch [13/20], Loss: 1.1160, Accuracy: 64.17%
Epoch [14/20], Loss: 1.1150, Accuracy: 64.31%
Epoch [15/20], Loss: 1.1132, Accuracy: 64.16%
Epoch [16/20], Loss: 1.1161, Accuracy: 64.18%
Epoch [17/20], Loss: 1.1116, Accuracy: 64.22%
Epoch [18/20], Loss: 1.1122, Accuracy: 64.26%
Epoch [19/20], Loss: 1.1131, Accuracy: 64.27%
Epoch [20/20], Loss: 1.1142, Accuracy: 64.25%
