Model: cnn2, Batch_size: 32, Epochs: 20, Learning Rate: 3e-05
Current device is cuda.
Epoch [1/20], Loss: 1.9192, Accuracy: 38.19%
Epoch [2/20], Loss: 1.6623, Accuracy: 43.87%
Epoch [3/20], Loss: 1.5704, Accuracy: 47.50%
Epoch [4/20], Loss: 1.5144, Accuracy: 49.17%
Epoch [5/20], Loss: 1.4692, Accuracy: 52.06%
Epoch [6/20], Loss: 1.4347, Accuracy: 52.00%
Epoch [7/20], Loss: 1.4291, Accuracy: 52.33%
Epoch [8/20], Loss: 1.4256, Accuracy: 52.04%
Epoch [9/20], Loss: 1.4204, Accuracy: 52.74%
Epoch [10/20], Loss: 1.4171, Accuracy: 52.30%
Epoch [11/20], Loss: 1.4156, Accuracy: 52.95%
Epoch [12/20], Loss: 1.4098, Accuracy: 52.89%
Epoch [13/20], Loss: 1.4133, Accuracy: 52.99%
Epoch [14/20], Loss: 1.4101, Accuracy: 52.96%
Epoch [15/20], Loss: 1.4070, Accuracy: 52.95%
Epoch [16/20], Loss: 1.4079, Accuracy: 53.01%
Epoch [17/20], Loss: 1.4122, Accuracy: 53.02%
Epoch [18/20], Loss: 1.4113, Accuracy: 53.03%
Epoch [19/20], Loss: 1.4124, Accuracy: 53.03%
Epoch [20/20], Loss: 1.4100, Accuracy: 53.02%
