Model: fcnn, Batch_size: 16, Epochs: 20, Learning Rate: 3e-05
Current device is cuda.
Epoch [1/20], Loss: 1.8803, Accuracy: 39.78%
Epoch [2/20], Loss: 1.6970, Accuracy: 43.44%
Epoch [3/20], Loss: 1.6181, Accuracy: 44.74%
Epoch [4/20], Loss: 1.5661, Accuracy: 46.56%
Epoch [5/20], Loss: 1.5283, Accuracy: 46.92%
Epoch [6/20], Loss: 1.4716, Accuracy: 48.41%
Epoch [7/20], Loss: 1.4549, Accuracy: 48.72%
Epoch [8/20], Loss: 1.4446, Accuracy: 48.78%
Epoch [9/20], Loss: 1.4373, Accuracy: 48.89%
Epoch [10/20], Loss: 1.4372, Accuracy: 49.21%
Epoch [11/20], Loss: 1.4273, Accuracy: 49.57%
Epoch [12/20], Loss: 1.4254, Accuracy: 49.56%
Epoch [13/20], Loss: 1.4215, Accuracy: 49.47%
Epoch [14/20], Loss: 1.4230, Accuracy: 49.62%
Epoch [15/20], Loss: 1.4228, Accuracy: 49.64%
Epoch [16/20], Loss: 1.4198, Accuracy: 49.58%
Epoch [17/20], Loss: 1.4201, Accuracy: 49.59%
Epoch [18/20], Loss: 1.4206, Accuracy: 49.59%
Epoch [19/20], Loss: 1.4178, Accuracy: 49.63%
Epoch [20/20], Loss: 1.4186, Accuracy: 49.63%
